Name,Latitude,Longitude,pop_buffer_hybrid,ho_size,EI_SubArea,PLN_Cabang,PROVINSI,XY_Source,full_population_2010_Census_BIG_method,distance_to_nearest_line_km,Desa,population_buffer_corrected,SettlementTargetElectrificationRate_2010Census,pop_outside_1kmBuffer,pop
820301000401,-2.263234,125.919245,1156,5.43,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1156,0.156340397,8203010004,1156,1,0,0
820301000501,-2.185961,125.88403,314,4.91,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,314,1.88485222,8203010005,314,1,314,314
820301000502,-2.18147,125.89339,84,4.91,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,84,1.304207423,8203010005,84,1,84,84
820301000601,-2.155465,125.886326,1089,5.09,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1089,1.672050896,8203010006,1089,1,1089,1089
820301000801,-2.193113,125.880975,1023,5.59,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1023,1.934344214,8203010008,1023,1,1023,1023
820301000901,-2.107086,125.865308,735,4.51,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,735,0.763792294,8203010009,735,1,0,0
820301001001,-2.084364,125.858721,306,5.19,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,306,0.994967676,8203010010,306,1,0,0
820301100101,-2.401175,125.972846,1419,6.22,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1419,0.039900508,8203011001,1419,1,0,0
820301100201,-2.361082,125.960659,907,6.21,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,907,0.072569011,8203011002,907,1,0,0
820301100301,-2.289962,125.935381,749,5.26,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,749,0.144795397,8203011003,749,1,0,0
820301100302,-2.28755,125.932552,93,5.26,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,93,0.158510819,8203011003,93,1,0,0
820301100401,-2.325511,125.959436,622,5.14,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,622,1.136579222,8203011004,622,1,622,622
820301100501,-2.357481,125.960481,508,6.12,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,508,0.128962042,8203011005,508,1,0,0
820302001501,-2.141289,125.957307,190,5.33,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1128,0.341806764,8203020015,331,0.29,0,0
820302001502,-2.132538,125.958803,141,5.33,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,837,0.004814955,8203020015,0,0,0,0
820302001701,-2.12945,125.958394,54,5.48,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,579,0.0279137,8203020017,0,0,0,0
820302001702,-2.111659,125.96085,26,5.48,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,281,0.210098112,8203020017,80,0.29,0,0
820302001801,-2.107754,125.962094,56,5.47,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1127,0.242636494,8203020018,56,0.05,0,0
820302001901,-2.093898,125.965833,0,5.59,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,640,0.104381705,8203020019,0,0,0,0
820302001902,-2.08879,125.968268,0,5.59,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1505,0.513636471,8203020019,0,0,0,0
820302002001,-2.084338,125.970322,250,5.27,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1022,0.717016173,8203020020,456,0.45,0,0
820302002002,-2.082326,125.971106,30,5.27,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,121,0.478619268,8203020020,0,0,0,0
820302002003,-2.079256,125.97191,29,5.27,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,119,0.13080114,8203020020,0,0,0,0
820302002004,-2.0762,125.974231,147,5.27,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,603,0.296357654,8203020020,0,0,0,0
820302002101,-2.073948,125.976154,33,5.48,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,177,0.621810314,8203020021,177,1,0,0
820302002102,-2.072015,125.97682,10,5.48,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,56,0.403447886,8203020021,56,1,0,0
820302002103,-2.06964,125.979527,667,5.48,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,3622,0.079327385,8203020021,477,0.13,0,0
820302002201,-2.0655,125.981374,685,4.7,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,3427,0.150246335,8203020022,685,0.2,0,0
820302002301,-2.061348,125.981347,301,4.74,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1555,0.206367942,8203020023,301,0.19,0,0
820302002401,-2.058148,125.979462,361,5.11,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,2812,0.089067578,8203020024,361,0.13,0,0
820302002501,-2.054564,125.980891,1326,5.43,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,4058,0.034300608,8203020025,1326,0.33,0,0
820302002601,-2.054053,125.968802,476,5.37,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1513,1.302865337,8203020026,476,0.31,1513,1513
820302100101,-2.315438,126.022707,20,5.14,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,183,0.032678436,8203021001,45,0.24,0,0
820302100102,-2.314341,126.022523,9,5.14,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,77,0.140473609,8203021001,77,1,0,0
820302100103,-2.310452,126.021053,93,5.14,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,835,0.009596763,8203021001,0,0,0,0
820302100201,-2.265728,126.003832,84,6.12,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,901,0.104510312,8203021002,92,0.1,0,0
820302100202,-2.261651,126.00044,8,6.12,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,90,0.097250277,8203021002,0,0,0,0
820302100301,-2.217891,125.977561,13,5.84,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,281,0.092762726,8203021003,0,0,0,0
820302100302,-2.215962,125.976783,20,5.84,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,437,0.132791577,8203021003,33,0.08,0,0
820302100499,-2.23900372802592,125.97188742268,210,5.08,Sanana&Dofa,Ternate,MALUKU UTARA,BPS_Centroids,671,1.604945348,8203021004,210,0.31,671,671
820302100501,-2.197214,125.968863,95,5,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,515,0.042291165,8203021005,0,0,0,0
820302100502,-2.165268,125.95619,317,5,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1719,0.292098725,8203021005,412,0.24,0,0
820302100601,-2.332486,126.031502,19,5.5,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,33,0.136573964,8203021006,0,0,0,0
820302100602,-2.32399,126.018903,108,5.5,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,187,0.217002526,8203021006,127,0.68,0,0
820302200101,-2.463347,126.025577,636,5.34,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,636,7.509256105,8203022001,636,1,636,636
820302200201,-2.461538,126.063259,21,4.98,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,21,5.931558402,8203022002,21,1,21,21
820302200202,-2.456809,126.066252,132,4.98,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,132,5.410888434,8203022002,132,1,132,132
820302200203,-2.453355,126.0682,51,4.98,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,51,5.04249353,8203022002,51,1,51,51
820302200204,-2.450169,126.062116,30,4.98,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,30,4.682763741,8203022002,30,1,30,30
820302200205,-2.431369,126.070769,269,4.98,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,269,2.688925116,8203022002,269,1,269,269
820302200301,-2.39741,126.059523,465,6.11,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,465,0.099654414,8203022003,465,1,0,0
820302200302,-2.391966,126.058839,213,6.11,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,213,0.065885301,8203022003,213,1,0,0
820302200401,-2.365467,126.044352,463,5.58,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,463,0.136081003,8203022004,463,1,0,0
820302200501,-2.430087,126.07028,422,6.64,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,422,2.53825491,8203022005,422,1,422,422
820302200502,-2.409419,126.065873,26,6.64,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,26,0.227384439,8203022005,26,1,0,0
820302200503,-2.405849,126.06388,163,6.64,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,163,0.019281379,8203022005,163,1,0,0
820302200601,-2.381592,126.052243,209,6.15,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,209,0.047403345,8203022006,209,1,0,0
820302300101,-2.005558,125.968734,18,4.93,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,862,0.124730367,8203023001,0,0,0,0
820302300102,-1.988873,125.95346,6,4.93,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,282,0.193024542,8203023001,24,0.09,0,0
820302300201,-1.982361,125.933362,14,5.57,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,82,0.07951607,8203023002,0,0,0,0
820302300202,-1.98024,125.932954,102,5.57,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,598,0.134144045,8203023002,116,0.19,0,0
820302300301,-2.023149,125.876059,893,4.83,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,893,0.369171381,8203023003,893,1,0,0
820302300499,-2.0056625022173,125.974017988079,732,6.36,Sanana&Dofa,Ternate,MALUKU UTARA,BPS_Centroids,1392,0.367275048,8203023004,732,0.53,0,0
820302300501,-2.03425,125.990729,0,5.32,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,894,0.063844186,8203023005,0,0,0,0
820302300601,-1.986228,125.901588,39,4.53,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,39,0.108705084,8203023006,39,1,0,0
820302300602,-1.986079,125.903961,10,4.53,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,10,0.130491736,8203023006,10,1,0,0
820302300603,-1.985766,125.902396,35,4.53,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,35,0.047051107,8203023006,35,1,0,0
820302300604,-1.985669,125.89963,222,4.53,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,222,0.126735951,8203023006,222,1,0,0
820302300605,-1.983041,125.913774,38,4.53,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,38,0.071574953,8203023006,38,1,0,0
820302300701,-2.044921,125.865446,328,5.38,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,328,0.580198954,8203023007,328,1,0,0
820303000601,-1.91519,125.983668,195,5.57,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1850,0.149560673,8203030006,195,0.11,0,0
820303000701,-1.888912,126.046913,31,4.89,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,75,0.922752908,8203030007,0,0,0,0
820303000702,-1.882403,126.065826,221,4.89,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,540,0.138358129,8203030007,0,0,0,0
820303000703,-1.871607,126.035071,78,4.89,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,191,2.48920176,8203030007,171,0.9,191,191
820303000704,-1.862381,126.043118,111,4.89,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,270,2.776441876,8203030007,270,1,270,270
820303000801,-1.8848,126.118316,8,4.51,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,74,2.559333121,8203030008,61,0.82,74,74
820303000802,-1.881879,126.110066,53,4.51,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,499,1.596369514,8203030008,0,0,499,499
820303000901,-1.897253,126.022013,25,5.29,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,174,0.167218604,8203030009,0,0,0,0
820303000902,-1.884617,126.033108,12,5.29,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,81,1.110030551,8203030009,0,0,81,81
820303000903,-1.870847,126.03435,18,5.29,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,126,2.587304759,8203030009,56,0.44,126,126
820303001001,-1.917301,125.962402,63,6.01,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,421,0.137031469,8203030010,63,0.15,0,0
820303100101,-1.919889,125.766703,667,4.48,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,667,11.98229892,8203031001,667,1,667,667
820303100201,-1.909412,125.874846,195,4.84,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1366,0.122553468,8203031002,195,0.14,0,0
820303100301,-1.925986,125.895169,112,5.01,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,259,0.046212724,8203031003,46,0.18,0,0
820303100302,-1.9224,125.890107,39,5.01,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,91,0.34871489,8203031003,91,1,0,0
820303100303,-1.920739,125.887304,11,5.01,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,26,0.59834912,8203031003,26,1,0,0
820303100401,-1.823382,125.812653,222,4.99,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,222,11.64251603,8203031004,222,1,222,222
820303100402,-1.809217,125.870094,304,4.99,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,304,11.01549704,8203031004,304,1,304,304
820303100403,-1.798491,125.949087,113,4.99,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,113,13.04805238,8203031004,113,1,113,113
820303100501,-1.92674,125.936091,1471,5.39,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,2065,0.203326601,8203031005,1682,0.81,0,0
820303100502,-1.919842,125.947425,211,5.39,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,297,0.103709169,8203031005,0,0,0,0
820303100601,-1.934608,125.903871,161,5.18,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,404,0.209845993,8203031006,161,0.4,0,0
820303100701,-1.919974,125.886498,1,4.67,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,9,0.476759922,8203031007,9,1,0,0
820303100702,-1.913417,125.880649,21,4.67,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,276,0.067132578,8203031007,13,0.05,0,0
820303100801,-1.909581,125.804672,282,4.55,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,282,7.697133484,8203031008,282,1,282,282
820303200101,-1.883743,126.164305,789,5.9,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1264,2.476896211,8203032001,684,0.54,1264,1264
820303200102,-1.815756,126.208502,173,5.9,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,277,10.73510857,8203032001,277,1,277,277
820303200201,-1.866336,126.207432,167,5.35,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,401,7.588363831,8203032002,167,0.42,401,401
820303200301,-1.866913,126.260597,1086,6.14,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,1086,13.34745831,8203032003,1086,1,1086,1086
820303200302,-1.826565,126.291887,197,6.14,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,197,17.91657917,8203032003,197,1,197,197
820303200303,-1.821896,126.276214,204,6.14,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,204,16.52380974,8203032003,204,1,204,204
820303200401,-1.828733,126.481016,348,6.21,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,348,38.23091549,8203032004,348,1,348,348
820304000101,-1.882638,125.379373,754,4.49,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,754,7.596978095,8203040001,754,1,754,754
820304000102,-1.881921,125.376721,552,4.49,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,552,7.384276976,8203040001,552,1,552,552
820304000201,-1.806076,125.354352,455,4.41,Sanana&Dofa,Ternate,MALUKU UTARA,BIG_Settlements,2124,2.123364019,8203040002,455,0.21,2124,2124
